,time stamp,Head X position,Head Y position,Head Z position,Head X rotation,Head Y rotation,Head Z rotation,Lhand X position,Lhand Y position,Lhand Z position,Lhand X rotation,Lhand Y rotation,Lhand Z rotation,Rhand X position,Rhand Y position,Rhand Z position,Rhand X rotation,Rhand Y rotation,Rhand Z rotation
,3/28/2022 12:17:41 PM,3.266198,1.620738,-1.544429,0.4238881,0.2890858,-0.08087019,3.411059,1.299239,-1.329716,-0.1484255,0.4811374,-0.3388716,1.938048,1.757422,-1.440694,0,0.6955446,0
,3/28/2022 12:17:41 PM,3.265708,1.621045,-1.54468,0.4232403,0.289037,-0.07996042,3.410806,1.299196,-1.3295,-0.14753,0.480756,-0.3388214,1.937918,1.757422,-1.441404,0,0.6955446,0
,3/28/2022 12:17:41 PM,3.265193,1.621338,-1.544946,0.4225864,0.2890344,-0.07917401,3.410665,1.299187,-1.329423,-0.1469488,0.4805082,-0.3387886,1.937853,1.757422,-1.44176,0,0.6955446,0
,3/28/2022 12:17:41 PM,3.264817,1.621515,-1.545142,0.4221389,0.2890905,-0.07879781,3.41071,1.299221,-1.329545,-0.1469488,0.4805082,-0.3387886,1.93789,1.757422,-1.441559,0,0.6955446,0
,3/28/2022 12:17:41 PM,3.264107,1.621747,-1.545356,0.4216425,0.2882174,-0.07790647,3.41009,1.299259,-1.329397,-0.1470046,0.4795401,-0.3390355,1.937492,1.757422,-1.443759,0,0.6949489,0
,3/28/2022 12:17:41 PM,3.26393,1.621931,-1.545594,0.4211888,0.288215,-0.0776874,3.41037,1.299275,-1.329708,-0.1482869,0.4792142,-0.3393027,1.937726,1.757422,-1.442473,0,0.6955016,0
,3/28/2022 12:17:41 PM,3.263771,1.62212,-1.545844,0.4207141,0.2882863,-0.07749792,3.41072,1.299292,-1.330058,-0.1496383,0.4789459,-0.3395651,1.938008,1.757422,-1.440922,0,0.696133,0
,3/28/2022 12:17:41 PM,3.263659,1.622317,-1.546115,0.4201447,0.2885199,-0.07748704,3.411041,1.299319,-1.330384,-0.1513215,0.4785463,-0.3398394,1.938271,1.757422,-1.439476,0,0.6965533,0
,3/28/2022 12:17:41 PM,3.263598,1.622486,-1.54636,0.4195683,0.2888182,-0.07765419,3.411192,1.299354,-1.330581,-0.1530785,0.4779644,-0.3400957,1.938411,1.757422,-1.438715,0,0.6965533,0
,3/28/2022 12:17:41 PM,3.263534,1.622663,-1.546614,0.4189691,0.2891281,-0.07782786,3.411348,1.29939,-1.330787,-0.1549039,0.477358,-0.3403609,1.938557,1.757422,-1.437924,0,0.6965533,0
,3/28/2022 12:17:41 PM,3.263531,1.62281,-1.54687,0.4187591,0.2892366,-0.07788868,3.411434,1.299435,-1.331063,-0.1570075,0.476515,-0.341189,1.938617,1.757422,-1.437597,0,0.6965533,0
,3/28/2022 12:17:41 PM,3.263553,1.622909,-1.547067,0.4187591,0.2892366,-0.07788868,3.411472,1.299474,-1.331302,-0.158724,0.4757741,-0.34205,1.938628,1.757422,-1.43754,0,0.6965533,0
,3/28/2022 12:17:41 PM,3.263577,1.622978,-1.547297,0.4187591,0.2892366,-0.07788868,3.411342,1.299484,-1.331372,-0.1609653,0.4744739,-0.3427863,1.938549,1.757422,-1.437968,0,0.6965533,0
